date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,lineray1,linefox,linedok,linetalis,linemassey,linepugh,linedonc,linemds,linedoi,linelogic
3/19/16,Atlanta,109,Houston,97,7,5.95,5.29,5.5,5.49,6.5,6.32,6.8,4.64,5.75,9,6.74,5.4,6.02,7.68,3.7,,5.7,5
3/21/16,Atlanta,102,Washington,117,6.5,7.11,6.24,6.36,6.55,7,7.06,8.4,5.59,5,11,7.12,6.42,6.98,8.37,6.9,,6.55,6
3/25/16,Atlanta,101,Milwaukee,90,9,9.4,8.65,9.85,8.65,9,8.79,10.9,7.57,5.25,13,9.34,9.16,8.45,10.19,8.3,,9.79,9
4/1/16,Atlanta,108,Cleveland,110,2.5,1.61,1.6,4.93,0.69,1,0.72,4.6,0.05,1,5,1.64,1.87,0.93,1.81,0.7,,-0.98,-1
4/5/16,Atlanta,103,Phoenix,90,14,13.68,12.62,14.49,12.33,15,11.41,16.6,11.5,11.25,19,16.7,12.06,13.66,14.11,13.8,,11.21,12
4/7/16,Atlanta,95,Toronto,87,7.5,2.74,2.16,2.69,2.2,5,2.01,5.1,1.44,2.5,4,4.12,1.84,1.79,3.05,3.2,,4.71,0
4/9/16,Atlanta,118,Boston,107,5.5,4.32,3.5,4.96,3.22,5.5,3.43,6,2.97,4.25,9,6.88,3.03,3.54,4.21,,,3.4,2
4/19/16,Atlanta,89,Boston,72,6.5,4.49,3.55,4.42,3.32,6.5,,6.9,3.18,4.25,7,4.97,,3.62,4.22,4.9,,5.74,2
4/26/16,Atlanta,110,Boston,83,7,4.21,3.22,2.58,3.72,6.5,1.41,6.5,3.11,4.25,5,7.14,,4.89,4.38,4.9,,5.83,2
5/6/16,Atlanta,108,Cleveland,121,-2.5,-0.16,0.22,-0.23,0.71,-2.5,-1.82,3.1,0.02,1,-4,1.12,,0.53,0,1.3,,-0.99,-2
5/8/16,Atlanta,99,Cleveland,100,-5.5,-1.13,-0.32,-1.99,0.44,-5.5,-1.72,1.3,-0.27,1,-6,-5.69,,0.53,0.48,0.6,,-1.06,-1
10/28/15,Boston,112,Philadelphia,95,11.5,10.77,12.01,11.95,12.03,10.5,10.03,10.8,11.99,,15,7.57,10.57,,10.93,6.7,12.21,8.16,
10/30/15,Boston,103,Toronto,113,2,1.65,1.88,1.76,1.99,1.5,2.21,2.7,1.63,,7,-0.93,3.47,,0.21,0.8,-1.02,-0.25,
11/1/15,Boston,87,San Antonio,95,-6,-5.01,-3.25,-2.93,-3.65,-3,-6.07,-4.6,-2.35,,-6,-7.43,-3.89,,-7,-5.6,-6.46,-5.89,
11/6/15,Boston,118,Washington,98,1.5,1.43,0.41,-0.08,0.89,2,1.96,1.6,-0.72,,4,1.52,2.76,,2.41,1.6,1.38,0.84,
11/11/15,Boston,91,Indiana,102,3.5,3.05,3.57,2.38,3.88,4,2.76,4,2.24,,6,4.21,2.06,,6.33,2.8,-2.52,1.96,
11/13/15,Boston,106,Atlanta,93,0,0.44,-0.13,-1.48,0.24,0,3.06,1.6,-1.86,,6,-1.3,1.24,,2.24,2,-2.5,-3.36,
11/18/15,Boston,102,Dallas,106,5,6.43,6.22,5.31,6.47,5,5.91,5.2,4.98,5,11,3.98,5.93,,9.66,6.1,,6.4,
11/20/15,Boston,120,Brooklyn,95,9,11.19,11.31,10.66,11.5,9,11.77,9.5,10.78,9.5,15,9.11,8.41,,17.04,8.6,,10.55,
11/25/15,Boston,84,Philadelphia,80,11,14.31,14.04,13.66,14.24,11.5,,13.5,14.01,14.75,19,12.1,11.54,,20.99,13,,11.3,
11/27/15,Boston,111,Washington,78,3,5.14,4.63,2.56,5.12,4,7.82,4.8,3.39,8.5,7,4.09,4.88,,8.97,5.7,,2.71,
12/9/15,Boston,105,Chicago,100,3.5,3.62,3.15,3.17,4.1,4,3.38,5.4,2.24,-2,7,1.19,3.74,,5.38,2,,2.71,
12/11/15,Boston,119,Golden State,124,-5.5,-6.18,-6.29,-7.01,-5.1,-6,-7.55,-3.9,-6.98,-3.5,-6,-6.38,-3.9,,-3.82,-5.5,-10.75,-7.21,
12/15/15,Boston,77,Cleveland,89,-1,1.6,1.19,1.78,1.7,-1.5,3.1,1.8,0.15,5,6,-3.38,0.21,,4.65,1.6,,0.4,
12/18/15,Boston,101,Atlanta,109,4,3.91,3.83,4.31,4.39,4.5,4.79,6.1,2.83,3.5,8,1.88,4.54,,6.79,3.2,-0.91,1.03,
12/21/15,Boston,113,Minnesota,99,8,8.05,7.49,6.98,8.11,7.5,5.49,9.2,7.48,5.5,10,7.21,11.74,,9.89,7.7,,5.35,
12/27/15,Boston,100,New York,91,8.5,8.77,8.56,8.98,8.71,7.5,7.03,10,8.03,9,12,6.13,11.92,,10.78,7.2,,5.9,
12/30/15,Boston,104,LA Lakers,112,14,14.93,13.87,13.52,14.73,12.5,14.8,13.9,13.52,12.5,19,15.22,14.92,,19.34,11.4,,14.97,
1/2/16,Boston,97,Brooklyn,100,9.5,10.43,10.47,9.74,11.04,9.5,8.9,10.8,10.71,7.5,11,9.12,10.27,,13.12,9.5,,10.46,
1/6/16,Boston,94,Detroit,99,3,4.04,3.85,3,4.46,4,2.76,5.1,4.15,4.5,1,4.45,3.52,,6.36,4.6,,5.19,
1/13/16,Boston,103,Indiana,94,3.5,0.92,1.55,0,1.7,2,-0.28,1.6,1.52,1.25,0.01,0.17,1.98,,2.73,1.2,-0.2,0.04,
1/15/16,Boston,117,Phoenix,103,9,8.88,7.55,9.21,7.97,9.5,6.88,10.4,7.47,10.25,13,6.96,8.45,,10.32,8.1,,10.3,
1/22/16,Boston,110,Chicago,101,4,4.07,3.22,2.15,3.9,3.5,2.99,5.1,2.57,3.5,7,3.48,4.32,3.53,5.36,3.3,6.3,5.76,2
1/27/16,Boston,111,Denver,103,9.5,9.13,9.23,9.73,9.19,8,7.35,10.7,8.82,6.25,11,8.89,8.31,8.69,9.09,8.4,11.29,9.19,7
1/29/16,Boston,113,Orlando,94,8,8.14,8.05,11.48,7.44,8.5,6.28,10.8,6.64,7.25,14,7.44,7.1,7.07,8.84,6.8,,7.07,5
2/3/16,Boston,102,Detroit,95,4.5,4.41,4.72,4.91,4.76,4,3.46,5.3,4.38,2.5,5,2.5,3.53,4.69,5.74,4.3,4.44,4.4,4
2/7/16,Boston,128,Sacramento,119,8,6.85,7.52,8.77,7.26,8,6.23,9.2,6.9,3.5,9,4.74,7.08,7.17,8.46,7.3,2.49,5.64,5
2/25/16,Boston,112,Milwaukee,107,7.5,8.17,7.52,5.45,8.58,8.5,8.45,8.7,7.1,4,8,6.85,10.17,8.16,10.64,8,,7.8,9
2/27/16,Boston,101,Miami,89,5.5,4.98,4.29,3.25,4.84,6,4.1,6.9,3.83,3,6,5.11,5.05,5.02,6.2,5.4,,4.77,5
2/29/16,Boston,100,Utah,95,5,5.14,4.93,5.76,4.72,5.5,3.93,8.2,4.59,4,5,3.98,5.14,5.62,,5,,4.98,5
3/2/16,Boston,116,Portland,93,6,4.05,4.41,1.3,5.18,5.5,3.1,5,5.01,0.5,1,3.24,4.63,3.96,,6.7,,5.18,4
3/4/16,Boston,105,New York,104,10,9.73,9.61,12.45,8.99,9,9.08,12.7,8.54,5.5,14,9.27,8.62,8.88,,7.8,,8.49,8
3/9/16,Boston,116,Memphis,96,11,5.55,5.45,5.61,5.84,11,4.96,6.9,4.19,6,7,6.28,5.92,4.73,,5.5,,4.8,5
3/11/16,Boston,98,Houston,102,5.5,5.58,5.56,5.64,5.84,6,6.38,6.2,4.87,4.5,6,4.82,5.76,6.27,,4.9,,5.24,5
3/16/16,Boston,109,Oklahoma City,130,-5,-0.37,-0.07,1.19,-0.54,-2,-0.76,2.3,-0.48,2.5,0.01,-2.91,-0.48,0.59,1.05,-2.9,,-1.16,-1
3/21/16,Boston,107,Orlando,96,8.5,7.96,7.69,8.56,7.63,8,6.81,9.1,7.23,7.75,9,8.57,7.43,7.62,8.73,7.8,,8.24,7
3/23/16,Boston,91,Toronto,79,0,0.83,0.8,-1.14,1.54,2.5,-0.2,2.3,0.78,1.25,-1,1.92,1.35,0.58,2.35,0.2,,2.1,0
4/6/16,Boston,104,New Orleans,97,15,8.09,7.62,8.2,7.53,14,3.88,9,7.22,4.5,7,11.81,8,8.7,9.01,10.3,,7.95,7
4/8/16,Boston,124,Milwaukee,109,10.5,8.56,8.52,9.01,8.58,9.5,5.08,10.8,7.74,4,10,8.05,9.27,8.71,9.98,7.7,,8.33,8
4/11/16,Boston,100,Charlotte,114,6.5,3.55,3.86,3.99,3.8,6,1.99,4.2,3.87,4.5,1,3.46,2.42,4.12,3.89,5.6,,4.52,3
4/13/16,Boston,98,Miami,88,4,2.98,2.56,-0.33,3.53,4.5,1.05,2.2,2.95,3,-1,4.46,3.65,3.55,4.87,5.3,,5.95,3
4/22/16,Boston,111,Atlanta,103,3,0.75,1.15,-0.62,1.66,2.5,,0.7,1.82,1.75,-3,2.04,,1.25,2.1,0.7,,1.2,0
4/24/16,Boston,104,Atlanta,95,1,1.51,2.15,1.71,2.08,2,,1.1,2.28,1.75,-1,1.9,,2.91,2.36,0.5,,1.17,1
4/28/16,Boston,92,Atlanta,104,-2,0.53,1.83,0.94,1.78,-1.5,-0.35,0.5,2.12,1.75,-3,-2.33,,3.66,0,0.6,,1.09,0
10/28/15,Brooklyn,100,Chicago,115,-5,-4.31,-6.13,-6.06,-6.12,-4.5,-4.74,-5.1,-6.29,,-5,-4.17,-2.66,,-1.76,0,-3.85,-4.11,
11/2/15,Brooklyn,96,Milwaukee,103,-1,0.11,-3.15,-3.54,-2.77,-1,0.29,-0.4,-2.42,,3,2.68,0.71,,3.35,1.7,-0.12,2.12,
11/6/15,Brooklyn,98,LA Lakers,104,3.5,3.41,0.81,0.94,0.66,3.5,5.32,3,1.45,,7,2.76,6.29,,-1.83,8,4.96,5.02,
11/17/15,Brooklyn,90,Atlanta,88,-4.5,-5.49,-7.04,-7.02,-7.01,-4.5,-5.17,-1.5,-8.06,-3.5,-2,-5.5,-3.4,,-9.39,-3.8,,-5.93,
11/22/15,Brooklyn,111,Boston,101,-5.5,-7.63,-8.55,-7.63,-8.81,-4,-9.62,-2.3,-7.72,-7,-11,-7.87,-3.91,,-12.42,-5,,-6.78,
11/29/15,Brooklyn,87,Detroit,83,-5,-2.86,-3.15,-2.35,-3.27,-3,-4.48,0.8,-3.88,-4.5,-1,-3.36,-2.72,,-3.76,-3.7,,-3.44,
12/1/15,Brooklyn,94,Phoenix,91,-3,-2.19,-2.76,-1.42,-3.06,-3,-4.86,1.9,-2.7,-5.25,-1,-4.62,0.79,,-3.77,-3,,-1.8,
12/6/15,Brooklyn,98,Golden State,114,-10.5,-13.36,-14.09,-14.3,-14.1,-11.5,-15.27,-10.4,-14.74,-5,-16,-13.02,-9.99,,-14.86,-10.3,-13.14,-13.43,
12/8/15,Brooklyn,110,Houston,105,-4,-0.03,-1.68,-2.9,-1.35,-4,1.6,0.7,-3.16,5,1,-3.11,-1.5,,2.42,-0.6,8.99,-0.8,
12/10/15,Brooklyn,100,Philadelphia,91,7,7.38,7.7,8.93,6.77,7,6.2,9.2,7.36,9.25,11,5.43,7.81,,8.9,5.8,3.18,7.72,
12/12/15,Brooklyn,100,LA Clippers,105,-7,-5.04,-5.51,-4.66,-5.87,-5,-4.61,-2,-6.17,2.5,-5,-7.63,-4.99,,-4.09,-4,-6.57,-4.47,
12/14/15,Brooklyn,82,Orlando,105,-3,-1.11,-2.08,-1.24,-2.35,-2,-3.1,1.8,-2.75,0.5,0.01,-2.77,1.62,,-1.54,-2.4,1.9,-1.53,
12/16/15,Brooklyn,98,Miami,104,-4,-3.9,-5.24,-4.64,-5.32,-4,-4.58,-2.1,-5.77,2,-2,-5.51,-0.66,,-3.64,-3.4,-3.47,-4.35,
12/20/15,Brooklyn,85,Minnesota,100,-2,0.98,0.25,1.29,-0.18,1.5,-1.06,3.5,-0.23,2.5,2,-0.19,5.08,,0.19,0.1,,1.06,
12/23/15,Brooklyn,118,Dallas,119,-3,-1.9,-3.24,-3.11,-3.01,-3.5,-2.31,-1.7,-3.6,3.5,0.01,-5.19,0.03,,-1.48,-3.1,6.4,-4.46,
12/26/15,Brooklyn,96,Washington,111,-3,-2.1,-3.67,-4.95,-2.28,-1.5,0.08,-0.4,-3.77,5.5,-1,-3.32,-2.05,,-0.16,-1.2,,-2.49,
1/4/16,Brooklyn,94,Boston,103,-7.5,-4.49,-4.88,-3.08,-6.07,-6,-5.03,-1.4,-5.71,-1.5,-3,-4.48,-5.23,,-5.6,-4.9,,-4.51,
1/6/16,Brooklyn,74,Toronto,91,-7,-4.72,-5.49,-4.42,-5.77,-6.5,-5,-2.3,-6.4,3,-3,-4.77,-3.46,,-5.05,-5,,-6.04,
1/8/16,Brooklyn,77,Orlando,83,-4,-1.37,-2.37,-1.36,-2.49,-5,-2.92,1.4,-3.23,0.01,1,-2.14,-0.1,,-1.52,-3.2,1.94,-2.82,
1/11/16,Brooklyn,79,San Antonio,106,-14.5,-13.87,-13.81,-13.18,-14.16,-13.5,-13.57,-11.5,-13.78,-4.5,-17,-17.29,-12.64,,-14.49,-10.4,-13.1,-15.34,
1/13/16,Brooklyn,110,New York,104,-4,-2.68,-2.51,-5.58,-2.31,-5.5,-2.85,-1.2,-2.55,1.75,-5,-3.53,1.06,,-1.23,-2.8,-1.28,-5.08,
1/15/16,Brooklyn,104,Portland,116,-4,-1.98,-1.81,-2.11,-1.96,-3,-1.81,-0.5,-1.78,3.5,-2,-4,-1.67,,-1.13,-1.8,,-3.19,
1/20/16,Brooklyn,78,Cleveland,91,-12.5,-9.49,-9.71,-9.23,-9.12,-12,-7.7,-8.3,-9.86,-2,-11,-14.19,-6.67,-10.6,-8.52,-8.6,-6.45,-12.84,
1/22/16,Brooklyn,86,Utah,108,-5.5,-4.02,-4.04,-2.67,-4.51,-4,-4.59,-1,-4.24,1,-6,-5.53,-3,-4.34,-3.22,-3.2,-3.65,-4.24,-6
1/24/16,Brooklyn,116,Oklahoma City,106,-14,-11.35,-11.37,-11.66,-11.35,-13.5,-11.19,-8.9,-11.21,-3.75,-14,-15.92,-8.88,-11.72,-11.1,-8.1,-9.77,-10.13,-15
1/26/16,Brooklyn,98,Miami,102,-4,-3.55,-3.86,-2.46,-4.13,-5,-3.52,-1.1,-4.82,-1.75,-2,-5.69,-2.16,-4.01,-3.04,-3.7,-2.36,-4.46,-6
2/1/16,Brooklyn,100,Detroit,105,-7,-5.09,-4.64,-3.76,-4.95,-6,-5.63,-3.5,-4.8,-2,-6,-6.83,-6.11,-5.29,-4.52,-4.5,-4.02,-4.81,-7
2/3/16,Brooklyn,100,Indiana,114,-6,-6.22,-5.64,-3.66,-6.37,-7,-6.52,-3.6,-6.03,-0.75,-6,-9.07,-6.84,-6.59,-5.76,-4.9,-7.37,-5.99,-9
2/5/16,Brooklyn,128,Sacramento,119,-5.5,-3.51,-2.94,-3.45,-2.78,-6,-3.54,-0.8,-2.85,-1,-4,-7.49,-2.64,-3.88,-2.03,-3.6,-4.05,-2.54,-6
2/8/16,Brooklyn,105,Denver,104,-1.5,-2.21,-1.9,-3.64,-1.34,-2.5,-2.5,-0.7,-1.26,0.5,-4,-3.8,-2.72,-2.52,-0.79,0.1,-2.62,-0.45,-5
2/19/16,Brooklyn,109,New York,98,-4.5,-2.01,-1.26,0.69,-1.81,-3.5,-2.04,1.2,-1.79,0.75,-1,-6.48,-2.2,-2.77,-1.13,-3.2,,-1.3,-5
2/21/16,Brooklyn,96,Charlotte,104,-7.5,-5.09,-4.81,-5.18,-4.8,-7,-5.18,-2.6,-4.66,-0.25,-5,-7.26,-6.52,-5.03,-4.28,-4.5,,-4.43,-7
